latitude_deg,longitude_deg,part_index
28.13421695,85.62819588,3
27.99297502,85.83527993,3
27.82730778,85.85227144,3
27.99297502,86.08059487,3
27.82943172,86.19528757,3
27.93987655,86.73689199,3
27.68712782,87.13831644,3
27.71367705,87.62257451,3
28.07049879,88.58471882,3
28.01952425,88.81835210,3
27.75615583,88.88207027,3
27.50977892,88.78649302,3
27.29313715,88.93941662,3
28.11722544,89.58297010,3
28.39333750,90.14793785,3
28.01952425,90.78087164,3
28.01102850,91.36920271,3
27.82624581,91.78124686,3
27.54854080,91.68620059,3
27.41685659,92.13647564,3
26.87737611,92.17895442,3
27.03029971,92.73967429,3
26.99206881,93.72093405,3
27.62500260,94.29864543,3
27.75031500,94.88485257,3
28.33652213,95.72699434,3
28.39280651,95.93620232,3
28.19634217,96.58825156,3
27.88837103,97.17445870,3
28.05297629,97.48030590,3
